Data;Consum[MW];Medie Consum[MW];Productie[MW];Carbune[MW];Hidrocarburi[MW];Ape[MW];Nuclear[MW];Eolian[MW];Foto[MW];Biomasa[MW];Sold[MW]
31-12-2015 13:48:12;6574;6576;7774;1762;1231;1526;1392;1387;430;47;-1200
31-12-2015 13:38:22;6588;6576;7844;1762;1231;1517;1394;1457;438;47;-1256
31-12-2015 13:28:32;6556;6576;7859;1761;1231;1531;1395;1435;458;47;-1303
31-12-2015 13:18:42;6573;6576;7824;1742;1232;1484;1389;1440;489;47;-1251
31-12-2015 13:08:52;6553;6576;7838;1736;1226;1467;1389;1473;500;47;-1285
31-12-2015 12:59:02;6634;6611;7885;1706;1226;1487;1394;1497;529;47;-1250
31-12-2015 12:49:12;6640;6611;7838;1709;1225;1474;1390;1467;526;47;-1198
31-12-2015 12:39:22;6598;6611;7870;1706;1226;1458;1389;1500;544;47;-1272
31-12-2015 12:29:32;6595;6611;7851;1653;1223;1383;1392;1608;546;47;-1256
31-12-2015 12:19:42;6584;6611;7865;1635;1224;1348;1393;1684;534;47;-1282
31-12-2015 12:09:52;6602;6611;7845;1638;1224;1342;1381;1687;526;47;-1243
31-12-2015 12:00:02;6629;6611;7898;1596;1222;1451;1378;1681;524;47;-1269
31-12-2015 11:50:12;6683;6686;7873;1597;1214;1476;1366;1657;515;47;-1191
31-12-2015 11:40:22;6664;6686;7866;1619;1221;1521;1365;1591;502;47;-1201
31-12-2015 11:30:32;6664;6686;7892;1603;1227;1526;1361;1616;512;47;-1228
31-12-2015 11:20:42;6722;6686;7944;1627;1224;1539;1362;1653;493;47;-1222
31-12-2015 11:10:52;6713;6686;7967;1655;1225;1574;1361;1628;478;47;-1255
31-12-2015 11:01:02;6759;6686;7955;1676;1223;1626;1362;1606;414;47;-1196
31-12-2015 10:51:12;6733;6774;8025;1694;1304;1639;1359;1605;378;47;-1292
31-12-2015 10:41:22;6769;6774;8058;1697;1304;1678;1362;1616;354;47;-1289
31-12-2015 10:31:32;6793;6774;8070;1697;1311;1673;1359;1646;336;47;-1277
31-12-2015 10:21:42;6807;6774;8031;1680;1306;1639;1360;1698;302;47;-1224
31-12-2015 10:11:52;6795;6774;8036;1687;1312;1635;1368;1715;271;47;-1240
31-12-2015 10:02:02;6800;6774;8028;1612;1470;1491;1384;1769;255;47;-1229
31-12-2015 09:52:12;6751;6758;7994;1622;1507;1475;1382;1788;174;47;-1243
31-12-2015 09:42:22;6820;6758;7998;1628;1514;1499;1387;1782;141;47;-1179
31-12-2015 09:32:32;6755;6758;7981;1635;1510;1468;1386;1811;125;44;-1226
31-12-2015 09:22:42;6748;6758;8011;1678;1498;1535;1379;1783;95;44;-1263
31-12-2015 09:12:52;6784;6758;7969;1757;1303;1686;1367;1733;78;45;-1185
31-12-2015 09:03:02;6674;6758;7786;1764;1297;1566;1370;1703;42;44;-1112
31-12-2015 08:53:12;6675;6566;7598;1747;1297;1387;1367;1726;31;44;-923
31-12-2015 08:43:32;6632;6566;7592;1755;1298;1330;1369;1779;15;44;-959
31-12-2015 08:33:32;6577;6566;7560;1738;1306;1295;1368;1802;7;44;-983
31-12-2015 08:23:42;6560;6566;7536;1726;1302;1272;1368;1821;3;44;-975
